Titulo,Autores,Resumen,Fecha,Etiquetas,URL
Detenido por triple homicidio en Cerrillos no quedó en prisión preventiva: Fiscalía apelará a decisión,T13,"En la audiencia no se logró acreditar la participación del detenido en el triple homicidio, por lo que se ordenó su arresto domiciliario total.",7 de Marzo de 2024 - 09:20 hrs.,"['triple homicidio', 'cerrillos', 'región metropolitana', 'santiago']",https://www.t13.cl/noticia/nacional/detenido-por-triple-homicidio-cerrillos-no-quedo-prision-preventiva-fiscalia-ap-7-3-2024
Investigan homicidio en cercanías de Mall Plaza Alameda en Estación Central,T13,Se espera que las policías realicen una serie de pericias a fin de establecer si se trató de un robo o alguna riña.,7 de Marzo de 2024 - 07:56 hrs.,"['homicidio', 'estación central', 'santiago', 'región metropolitana']",https://www.t13.cl/noticia/nacional/investigan-homicidio-cercanias-mall-plaza-alameda-estacion-central-7-3-2024
Fiscalía abre investigación de oficio por presunto cementerio clandestino en toma de la Región Metropolitana,T13,"Se trata de la toma ""Nuevo Amanecer"", ubicada en la comuna de Cerrillos.",6 de Marzo de 2024 - 13:11 hrs.,"['región metropolitana', 'cerrillos', 'toma']",https://www.t13.cl/noticia/nacional/fiscalia-abre-investigacion-oficio-por-presunto-cementerio-clandestino-toma
Conductor murió tras chocar con barreras de contención en Autopista Vespucio Sur,T13,"Según información entregada de manera preliminar, el conductor sufrió un problema de salud y perdió el control del vehículo.",6 de Marzo de 2024 - 08:00 hrs.,"['accidente de tránsito', 'accidente', 'santiago', 'región metropolitana']",https://www.t13.cl/noticia/nacional/conductor-murio-tras-chocar-barreras-contencion-autopista-vespucio-sur-6-3-2024
Por muerte de Leslie Vergara: Confirman sentencia de 17 años de cárcel a falsas cirujanas,Aton,Ambas fueron condenadas por el homicidio simple de Leslie Vergara y otros delitos cometidos en la clínica estética clandestina que manejaban en la comuna de Las Condes.,6 de Marzo de 2024 - 07:25 hrs.,"['leslie vergara', 'falsas cirujanas', 'clínica clandestina', 'las condes', 'santiago', 'región metropolitana']",https://www.t13.cl/noticia/nacional/por-muerte-leslie-vergara-confirman-sentencia-17-anos-carcel-falsas-cirujanas-6-3-2024
Así es la toma donde fue encontrado cuerpo de militar (r) venezolano secuestrado,Carolina Mardones,Ronald Ojeda fue sacado de su casa durante la madrugada del 21 de febrero por un grupo de personas que se hizo pasar por miembros de la Policía de Investigaciones (PDI).,4 de Marzo de 2024 - 10:57 hrs.,"['Ronald Ojeda', 'maipú', 'región metropolitana']",https://www.t13.cl/noticia/nacional/asi-toma-donde-fue-encontrado-cuerpo-militar-r-venezolano-secuestrado-4-3-2024
Este lunes formalizarán a joven de 17 años por secuestro y muerte de Ronald Ojeda,T13,El cuerpo del ex militar venezolano fue encontrado el pasado viernes al interior de una toma en la comuna de Maipú.,4 de Marzo de 2024 - 09:17 hrs.,"['Ronald Ojeda', 'maipú', 'independencia', 'pdi', 'fiscalía', 'región metropolitana']",https://www.t13.cl/noticia/nacional/este-lunes-formalizaran-joven-17-anos-por-secuestro-muerte-ronald-ojeda-4-3-2024
Segundo menor víctima de un ataque en la región Metropolitana: niña de 7 años resultó herida,T13,"El hecho se suma a la muerte de un niño de 13 años, quien perdió la vida producto de una balacera contra su casa, el miércoles en La Florida.",29 de Febrero de 2024 - 12:01 hrs.,"['Niña herida', 'pedro aguirre cerda', 'región metropolitana', 'pdi']",https://www.t13.cl/noticia/nacional/balean-por-segundo-dia-consecutivo-menor-region-metropolitana-nina-7-anos-29-2-2024
Golpiza a bebé de 8 meses en Maipú: padrastro formalizado por la agresión queda en prisión preventiva,Aton,"El imputado es un sujeto de 29 años, de nacionalidad colombiana, quien fue formalizado por homicidio frustrado.",29 de Febrero de 2024 - 08:38 hrs.,"['prisión preventiva', 'homicidio frustrado', 'maipú', 'región metropolitana', 'santiago']",https://www.t13.cl/noticia/nacional/en-prision-preventiva-padrastro-bebe-hospitalizado-grave-por-golpiza-maipu-29-2-2024
Gobierno prepara un “superlunes” con un 15% más de micros y mayor frecuencia del Metro,T13,La Delegación Presidencial Metropolitana anunció que habrán mil buses más disponibles para este lunes 4 de marzo cuando los estudiantes vuelven a clases.,28 de Febrero de 2024 - 15:01 hrs.,"['superlunes', 'marzo', 'vacaciones 2024', 'región metropolitana']",https://www.t13.cl/noticia/nacional/gobierno-prepara-superlunes-15-mas-micros-mayor-frecuencia-del-metro-28-2-2024
